Datum;Titel;Id-Nr;Mitzeichnungen;Forum;Begründung;Seite;Forumauswertung
27.04.2011;Energiewirtschaft - Erdverkabelung für Höchstspannungsnetze;623;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_04/_16/Petition_623.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_04/_16/Petition_623.nc.html;
13.02.2014;Schuldrecht - Abonnementverträge im Internet;624;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_04/_08/Petition_624.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_04/_08/Petition_624.nc.html;
15.10.2009;Besoldung der Soldaten - Neuregelung des Besoldungsrechts;625;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_04/_18/Petition_625.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_04/_18/Petition_625.nc.html;
27.11.2014;Strukturreform der Bahn - Kapitalprivatisierung der Deutschen Bahn AG;627;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_04/_22/Petition_627.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_04/_22/Petition_627.nc.html;
08.03.2010;Einkommensteuer - Gleichbehandlung von Arbeitnehmer und Selbständigen;638;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_05/_21/Petition_638.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_05/_21/Petition_638.nc.html;
15.10.2009;Erziehungsgeld/Elterngeld - Geschwisterkind;640;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_04/_29/Petition_640.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_04/_29/Petition_640.nc.html;
20.01.2010;Immissionsschutz - Ausnahmegenehmigung für Dieselfahrzeuge;641;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_05/_26/Petition_641.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_05/_26/Petition_641.nc.html;
13.02.2012;Verbraucherschutz - Gekochte Eier und eihaltige Produkte;642;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_05/_21/Petition_642.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_05/_21/Petition_642.nc.html;
04.11.2011;Energiewirtschaft - Kernenergienutzung zur gewerblichen Erzeugung von Elektrizität;648;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_06/_12/Petition_648.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_06/_12/Petition_648.nc.html;
15.02.2010;Arbeitslosengeld II - Einmalige Beihilfen / Erstausstattungen für Kinder, Jugendliche und Schüler;649;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_06/_23/Petition_649.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_06/_23/Petition_649.nc.html;
16.06.2010;Staatsangehörigkeit - Annahme der deutschen Staatsangehörigkeit der Mutter;656;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_04/_23/Petition_656.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_04/_23/Petition_656.nc.html;
04.09.2009;Leistungen an Mitglieder des Deutschen Bundestages -;663;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_07/_07/Petition_663.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_07/_07/Petition_663.nc.html;
24.02.2010;Einkommensteuer - Handwerkliche Tätigkeiten im Rahmen einer Neubaumaßnahme;664;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_06/_09/Petition_664.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_06/_09/Petition_664.nc.html;
